Neighborhood,MEDIAN AGE,AGE 65 AND UP,AGE 50 TO 64,AGE 35 TO 49,AGE 19 TO 34,AGE 11 TO 18,AGE 10 OR LESS,FOREIGN BORN POPULATION,SQUARE MILES,FOUR-YEAR DEGREES,LESS THAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,SOME COLLEGE,BACHELOR'S DEGREE,MASTERS DEGREE OR HIGHER,DIVERSITY INDEX,ASIAN POPULATION,BLACK POPULATION,LATINO POPULATION,WHITE POPULATION,NON-WHITE POPULATION,SINGLE PARENTS,AVERAGE HOUSEHOLD SIZE,HOMEOWNERS,RENTERS,Median Income,"$20,000 or less","$20,000 to $40,000","$40,000 to $60,000","$60,000 to $125,000","$125,000 and up",NEVER MARRIED MALES,NEVER MARRIED FEMALES,MARRIED MALES,MARRIED FEMALES,WIDOWED MALES,WIDOWED FEMALES,DIVORCED MALES,DIVORCED FEMALES,VETERANS,POPULATION TOTAL,POPULATION PER SQMI
View Park-Windsor Hills,43,20.1%,19.9%,24.3%,14.3%,9.7%,11.7%,6.0%,1.8,45.0%,7.2%,12.4%,35.4%,26.3%,18.7%,0.246,1.5%,86.5%,2.7%,5.0%,95.0%,9.6%,2.4,75.7%,24.3%,"$81,214",11.6%,19.9%,16.2%,30.8%,16.9%,29.7%,24.7%,58.5%,46.4%,3.1%,12.2%,8.7%,16.7%,15.5%,"11,066","6,008"
Rolling Hills Estates,43,17.3%,22.3%,25.8%,8.5%,12.2%,14.0%,18.9%,3.8,60.2%,3.2%,11.4%,25.2%,32.0%,28.3%,0.469,19.7%,1.3%,5.6%,69.8%,30.2%,5.1%,2.7,91.0%,9.0%,"$145,628",5.2%,8.5%,10.2%,31.0%,41.5%,18.1%,18.3%,76.6%,68.0%,2.3%,6.9%,3.0%,6.8%,11.8%,"8,334","2,185"
La Habra Heights,43,16.9%,22.5%,23.9%,12.6%,11.8%,12.3%,22.0%,6.2,49.3%,7.3%,18.6%,24.8%,26.5%,22.8%,0.539,19.3%,2.3%,11.9%,63.9%,36.1%,4.1%,2.9,94.2%,5.8%,"$137,034",4.6%,8.6%,10.3%,34.0%,37.9%,24.6%,19.0%,66.2%,68.2%,1.9%,8.9%,7.3%,3.8%,13.0%,"6,094",979
Westlake Village,43,17.2%,22.9%,24.8%,11.6%,10.4%,13.2%,13.4%,5.6,51.4%,4.7%,10.6%,33.3%,28.9%,22.5%,0.261,6.2%,0.5%,4.5%,85.5%,14.5%,5.2%,2.5,87.0%,13.0%,"$126,550",7.6%,10.0%,12.5%,33.7%,35.3%,16.5%,16.2%,74.5%,65.6%,2.6%,8.8%,6.4%,9.3%,14.1%,"8,663","1,534"
Ladera Heights,43,18.9%,22.3%,23.3%,13.6%,8.9%,13.0%,6.7%,2.9,53.4%,2.6%,10.2%,33.8%,26.9%,26.5%,0.456,3.3%,71.0%,3.3%,19.1%,80.9%,10.0%,2.5,76.8%,23.2%,"$117,925",4.6%,11.4%,14.0%,35.0%,32.6%,27.9%,19.2%,62.5%,51.7%,1.4%,10.9%,8.2%,18.2%,13.1%,"6,509","2,214"
Encino,42,19.7%,18.5%,24.4%,18.8%,7.4%,11.1%,32.8%,9.5,46.8%,9.3%,16.2%,27.7%,26.2%,20.6%,0.346,4.9%,2.4%,8.5%,80.1%,19.9%,9.2%,2.3,61.6%,38.4%,"$78,529",16.0%,18.1%,15.8%,25.2%,22.1%,27.9%,22.1%,60.2%,53.2%,3.0%,11.1%,8.9%,13.6%,10.6%,"41,905","4,411"
Sierra Madre,42,16.0%,20.1%,28.1%,16.1%,8.0%,11.7%,10.5%,3.0,49.7%,5.5%,12.8%,31.9%,28.1%,21.6%,0.353,5.2%,1.2%,9.9%,79.5%,20.5%,5.7%,2.2,62.5%,37.5%,"$88,008",8.3%,18.1%,16.6%,33.5%,20.1%,28.0%,22.5%,58.7%,51.3%,1.8%,11.1%,11.4%,15.1%,11.7%,"10,578","3,563"
Topanga,42,9.7%,23.1%,32.5%,13.1%,8.5%,13.2%,15.8%,19.2,59.0%,4.2%,12.4%,24.3%,31.6%,27.4%,0.227,3.7%,0.6%,4.6%,87.6%,12.4%,6.4%,2.4,76.4%,23.6%,"$120,319",9.2%,11.9%,12.2%,27.4%,33.0%,26.3%,23.5%,61.3%,58.5%,0.4%,5.4%,12.1%,12.6%,9.4%,"7,425",386
Malibu,42,13.7%,22.8%,26.8%,15.7%,9.5%,11.4%,14.4%,19.9,59.4%,4.1%,9.5%,27.0%,32.7%,26.7%,0.207,1.5%,1.2%,5.5%,88.8%,11.2%,8.0%,2.4,72.0%,28.0%,"$138,215",8.5%,8.5%,8.5%,24.9%,34.4%,30.6%,23.3%,58.2%,56.0%,1.0%,7.3%,10.2%,13.4%,11.0%,"12,514",629
Cheviot Hills,42,18.2%,18.6%,24.7%,17.3%,8.2%,12.9%,20.8%,1.5,60.0%,5.2%,10.0%,24.8%,28.5%,31.5%,0.364,9.1%,1.3%,8.3%,78.8%,21.2%,10.3%,2.2,64.3%,35.7%,"$111,813",10.9%,11.9%,13.4%,27.0%,32.7%,32.1%,23.4%,57.6%,52.6%,2.6%,10.0%,7.7%,14.1%,10.7%,"6,945","4,520"
San Marino,42,16.9%,18.1%,25.3%,11.8%,14.4%,13.5%,37.2%,3.8,69.7%,4.6%,6.3%,19.5%,36.7%,33.0%,0.584,46.8%,0.5%,4.8%,44.0%,56.0%,5.3%,3.0,91.6%,8.4%,"$158,855",6.3%,7.2%,8.2%,29.1%,45.1%,22.8%,19.1%,73.4%,66.5%,1.3%,8.2%,2.5%,6.2%,9.5%,"12,973","3,428"
San Pasqual,41,12.0%,18.9%,30.1%,21.4%,7.7%,9.9%,32.6%,0.3,57.2%,10.1%,8.1%,24.6%,30.2%,27.0%,0.601,17.9%,3.1%,17.9%,57.7%,42.3%,4.3%,2.3,62.1%,37.9%,"$92,917",13.5%,19.8%,12.9%,19.8%,30.0%,35.0%,19.2%,53.7%,56.9%,2.5%,8.6%,8.8%,15.3%,6.9%,"2,082","8,036"
Angeles Crest,41,10.7%,20.6%,31.0%,20.2%,6.6%,10.8%,7.4%,430.5,24.1%,12.3%,24.2%,39.4%,12.2%,11.9%,0.452,2.4%,10.4%,11.7%,72.3%,27.7%,6.5%,2.3,88.2%,11.8%,"$72,841",17.2%,14.5%,16.3%,29.8%,12.4%,31.6%,16.7%,51.2%,59.7%,2.1%,12.2%,15.1%,11.3%,18.9%,"1,175",3
Porter Ranch,41,12.0%,22.1%,26.5%,14.1%,11.6%,13.6%,33.6%,5.6,51.4%,7.0%,14.2%,27.4%,33.5%,17.9%,0.551,26.8%,1.8%,7.5%,60.9%,39.1%,3.8%,3.0,91.8%,8.2%,"$121,428",6.5%,10.4%,12.7%,37.8%,31.4%,22.7%,18.9%,71.9%,67.4%,1.4%,7.9%,4.0%,5.9%,8.5%,"24,923","4,462"
Beverly Hills,41,17.7%,18.7%,23.4%,19.3%,10.7%,10.1%,38.2%,5.7,54.5%,9.2%,13.0%,23.3%,29.7%,24.8%,0.320,7.6%,1.4%,4.8%,81.8%,18.2%,9.0%,2.2,43.5%,56.5%,"$96,312",14.2%,13.9%,13.2%,25.5%,28.1%,33.0%,29.6%,58.0%,48.2%,2.7%,11.5%,6.3%,10.7%,7.4%,"33,829","5,933"
La Cañada Flintridge,41,14.0%,19.8%,26.9%,8.2%,15.6%,15.5%,19.5%,8.6,63.5%,4.1%,8.7%,23.6%,33.9%,29.6%,0.457,19.6%,0.5%,4.7%,70.7%,29.3%,6.9%,2.9,90.0%,10.0%,"$148,996",7.7%,7.5%,10.1%,30.5%,42.8%,20.7%,18.3%,72.7%,66.9%,2.3%,8.4%,4.3%,6.4%,11.4%,"20,381","2,369"
Northwest Antelope Valley,41,15.2%,18.8%,27.0%,12.0%,12.4%,14.5%,6.2%,213.9,14.9%,18.9%,29.2%,37.0%,9.5%,5.4%,0.372,2.6%,2.1%,14.3%,77.8%,22.2%,5.8%,2.6,81.4%,18.6%,"$58,899",20.8%,20.6%,19.0%,26.5%,3.3%,20.3%,15.2%,63.2%,60.3%,2.9%,10.2%,13.6%,14.4%,15.9%,"3,343",16
Hollywood Hills West,41,14.0%,18.4%,31.3%,25.2%,3.8%,7.2%,25.4%,4.9,58.8%,5.0%,11.5%,24.7%,34.7%,24.1%,0.273,3.9%,2.7%,5.8%,84.9%,15.1%,5.8%,1.9,63.6%,36.4%,"$108,199",11.7%,14.3%,11.1%,23.3%,33.5%,51.0%,32.7%,38.4%,48.0%,1.8%,8.4%,8.8%,10.9%,8.4%,"14,860","3,048"
Leona Valley,41,7.9%,20.6%,32.4%,5.5%,18.7%,14.9%,8.9%,15.3,32.9%,6.3%,17.3%,43.4%,19.4%,13.6%,0.353,5.5%,0.5%,7.2%,79.6%,20.4%,6.6%,3.1,90.4%,9.6%,"$117,526",7.9%,12.1%,7.8%,44.3%,19.7%,19.5%,14.9%,68.9%,73.5%,3.4%,6.1%,8.2%,5.5%,16.7%,"1,374",90
Hidden Hills,41,10.0%,22.7%,25.2%,8.4%,15.6%,18.1%,12.7%,1.7,57.9%,7.7%,8.8%,25.6%,29.9%,28.0%,0.207,2.7%,0.4%,6.2%,88.7%,11.3%,4.7%,3.3,97.0%,3.0%,"$203,199",3.1%,6.8%,5.9%,16.8%,64.6%,16.5%,16.5%,76.6%,73.9%,1.4%,4.5%,5.5%,5.1%,10.3%,"1,875","1,100"
West San Dimas,41,10.5%,22.5%,27.7%,13.8%,10.7%,14.9%,22.8%,0.3,45.8%,5.9%,12.5%,35.8%,29.7%,16.0%,0.581,15.5%,2.9%,19.9%,59.5%,40.5%,3.5%,2.8,87.3%,12.7%,"$125,984",3.8%,8.5%,12.7%,44.9%,26.2%,21.7%,18.4%,70.7%,64.5%,2.5%,9.1%,5.0%,8.0%,12.6%,309,937
Southeast Antelope Valley,41,14.1%,19.4%,28.2%,12.1%,12.7%,13.4%,10.3%,193.0,21.7%,17.2%,23.2%,38.0%,12.6%,9.1%,0.393,1.9%,1.5%,16.4%,76.0%,24.0%,8.0%,2.6,82.3%,17.7%,"$70,134",19.8%,14.8%,13.9%,29.4%,7.6%,24.4%,20.1%,64.0%,62.7%,2.8%,8.7%,8.8%,8.5%,16.2%,"5,271",27
Chatsworth,40,13.0%,19.7%,26.1%,17.6%,10.5%,13.1%,25.2%,15.2,34.0%,10.9%,21.5%,33.6%,22.3%,11.6%,0.527,14.4%,2.2%,13.5%,65.7%,34.3%,10.0%,2.6,71.1%,28.9%,"$84,456",11.3%,15.5%,19.6%,36.7%,14.9%,28.6%,22.3%,61.1%,56.5%,2.2%,9.6%,8.1%,11.7%,10.8%,"35,073","2,301"
Northwest Palmdale,40,11.8%,21.6%,25.7%,9.2%,17.1%,14.5%,8.6%,5.8,21.4%,11.9%,27.2%,39.5%,14.5%,6.9%,0.421,3.6%,1.5%,12.0%,74.6%,25.4%,6.6%,3.0,87.8%,12.2%,"$103,013",8.6%,8.6%,15.5%,40.1%,19.0%,26.1%,18.0%,65.9%,63.2%,3.6%,9.5%,4.4%,9.3%,13.6%,"3,125",540
Agua Dulce,40,6.1%,21.5%,34.2%,11.6%,12.9%,13.7%,4.4%,31.5,20.7%,12.3%,26.7%,40.3%,15.9%,4.8%,0.282,0.2%,0.2%,10.9%,83.9%,16.1%,4.8%,2.9,87.4%,12.6%,"$106,078",8.5%,9.8%,10.7%,53.5%,15.1%,23.0%,16.4%,68.5%,75.6%,0.6%,4.9%,7.8%,3.0%,14.2%,"3,130",99
Arcadia,40,15.7%,16.8%,25.9%,16.8%,12.5%,12.2%,43.6%,11.2,44.4%,10.3%,16.7%,28.5%,27.1%,17.3%,0.620,45.4%,0.8%,9.9%,40.3%,59.7%,9.8%,2.7,62.3%,37.7%,"$75,808",13.8%,19.8%,16.8%,29.8%,15.2%,29.5%,23.0%,62.2%,56.1%,2.4%,11.1%,5.9%,9.8%,8.0%,"52,951","4,749"
Woodland Hills,40,16.1%,18.1%,25.9%,19.8%,8.1%,12.0%,24.8%,14.8,47.0%,6.4%,15.3%,31.3%,29.7%,17.3%,0.374,7.1%,2.9%,7.6%,78.3%,21.7%,9.4%,2.3,63.1%,36.9%,"$89,946",13.4%,14.4%,15.0%,32.0%,20.6%,29.5%,21.5%,58.3%,55.7%,2.3%,9.5%,9.8%,13.2%,10.7%,"59,661","4,040"
West Hollywood,39,16.9%,14.7%,29.9%,32.8%,2.2%,3.5%,35.9%,1.9,46.8%,8.9%,16.6%,27.7%,31.1%,15.7%,0.330,4.0%,2.8%,9.0%,81.2%,18.8%,9.6%,1.5,21.6%,78.4%,"$52,855",25.4%,23.6%,17.7%,20.7%,8.5%,63.9%,39.3%,24.0%,32.5%,2.4%,13.6%,9.7%,14.6%,6.2%,"35,716","18,924"
Shadow Hills,39,13.0%,19.2%,25.9%,18.1%,10.3%,13.6%,26.5%,12.8,25.1%,17.1%,22.4%,35.4%,14.9%,10.2%,0.562,6.9%,1.3%,28.7%,59.1%,40.9%,9.0%,2.8,77.7%,22.3%,"$82,796",14.7%,15.3%,17.4%,38.3%,11.6%,30.8%,23.0%,57.3%,54.7%,2.4%,9.3%,9.5%,13.0%,10.9%,"13,098","1,023"
Downtown,39,16.0%,16.6%,26.5%,28.5%,4.9%,7.5%,41.9%,5.8,17.9%,41.0%,20.1%,20.9%,10.1%,7.8%,0.743,21.3%,22.3%,36.7%,16.2%,83.8%,13.5%,1.6,6.6%,93.4%,"$15,003",57.4%,13.8%,5.3%,8.4%,3.2%,45.5%,32.9%,35.1%,40.5%,4.7%,16.7%,14.7%,9.9%,9.7%,"27,849","4,770"
West Hills,39,13.4%,18.5%,26.9%,15.2%,11.0%,15.0%,22.7%,8.5,38.3%,9.5%,18.4%,33.8%,24.8%,13.5%,0.470,11.3%,2.5%,11.0%,70.9%,29.1%,7.3%,2.9,87.4%,12.6%,"$103,008",7.3%,13.2%,16.3%,41.1%,20.5%,25.5%,19.6%,65.9%,62.9%,2.0%,7.6%,6.6%,9.9%,11.4%,"38,814","4,551"
Brentwood,39,17.2%,18.0%,22.3%,28.4%,5.4%,8.7%,21.1%,15.2,70.4%,3.7%,7.6%,18.3%,37.1%,33.3%,0.283,6.5%,1.2%,4.5%,84.2%,15.8%,5.7%,2.0,51.6%,48.4%,"$112,927",10.1%,11.2%,13.1%,29.1%,32.4%,36.4%,36.6%,53.2%,43.0%,2.7%,7.7%,7.8%,12.7%,8.4%,"31,344","2,059"
Beverlywood,39,16.5%,15.1%,25.7%,16.2%,9.2%,17.3%,24.5%,0.8,55.3%,7.4%,14.1%,23.2%,26.5%,28.8%,0.348,7.3%,4.2%,6.1%,80.0%,20.0%,6.9%,2.5,70.3%,29.7%,"$105,253",11.4%,14.4%,12.1%,28.5%,30.9%,26.5%,21.1%,64.6%,58.0%,3.5%,12.2%,5.5%,8.7%,7.7%,"6,080","7,654"
Culver City,39,13.9%,17.0%,27.3%,20.1%,8.4%,13.2%,26.6%,5.2,41.2%,12.8%,15.3%,30.6%,23.9%,17.3%,0.681,12.3%,10.7%,23.8%,48.3%,51.7%,13.4%,2.3,54.4%,45.6%,"$70,774",14.1%,20.6%,21.1%,30.6%,10.7%,34.6%,28.6%,54.3%,47.6%,2.2%,8.6%,8.8%,15.1%,9.7%,"38,816","7,475"
West Los Angeles,38,17.4%,15.6%,24.8%,28.9%,4.5%,8.7%,28.5%,1.0,60.4%,5.5%,9.7%,24.4%,33.0%,27.5%,0.393,11.4%,2.4%,5.3%,76.7%,23.3%,6.2%,1.9,49.0%,51.0%,"$86,403",14.7%,13.2%,17.5%,28.5%,22.5%,37.3%,32.9%,52.5%,44.7%,2.6%,11.2%,7.7%,11.2%,8.5%,"12,659","12,061"
Torrance,38,14.1%,15.6%,27.5%,18.9%,10.4%,13.5%,27.6%,20.6,36.4%,9.4%,20.2%,33.9%,24.8%,11.7%,0.628,28.6%,1.9%,12.9%,52.1%,47.9%,9.8%,2.5,56.0%,44.0%,"$76,866",13.7%,19.3%,18.2%,34.5%,11.6%,30.5%,22.1%,58.8%,55.5%,2.6%,10.6%,8.1%,11.7%,10.8%,"137,933","6,701"
Monterey Park,38,18.1%,15.7%,22.0%,22.2%,9.3%,12.8%,53.6%,7.7,25.1%,28.4%,20.3%,26.2%,17.7%,7.4%,0.537,61.1%,0.1%,28.8%,7.4%,92.6%,10.8%,3.0,54.1%,45.9%,"$55,210",23.0%,24.5%,18.0%,24.8%,6.6%,32.8%,27.6%,59.3%,53.5%,2.3%,11.9%,5.5%,7.0%,6.3%,"59,933","7,823"
Northeast Antelope Valley,38,13.4%,18.7%,24.4%,15.9%,13.3%,14.3%,13.2%,442.0,9.7%,26.0%,27.7%,36.6%,5.8%,3.8%,0.548,1.8%,7.9%,24.6%,62.0%,38.0%,11.6%,2.7,73.8%,26.2%,"$52,234",22.6%,19.7%,17.7%,19.2%,3.0%,26.8%,18.1%,57.2%,60.1%,2.7%,10.1%,13.3%,11.8%,16.8%,"4,550",10
La Crescenta-Montrose,38,11.2%,16.2%,29.0%,15.4%,13.4%,14.7%,28.4%,3.4,40.8%,8.0%,17.3%,33.8%,25.9%,14.9%,0.514,19.8%,0.5%,9.6%,66.0%,34.0%,8.8%,2.7,64.8%,35.2%,"$82,693",12.2%,17.5%,18.0%,34.2%,15.7%,27.9%,21.9%,63.8%,58.6%,2.7%,8.4%,5.5%,11.1%,10.9%,"18,507","5,401"
Marina del Rey,38,9.7%,19.6%,30.3%,33.4%,1.6%,5.3%,23.9%,1.5,62.3%,2.8%,7.7%,27.1%,39.3%,23.1%,0.377,8.2%,4.8%,5.0%,78.1%,21.9%,11.0%,1.5,8.2%,91.8%,"$92,763",9.9%,11.4%,13.6%,35.0%,14.2%,39.4%,38.0%,36.5%,38.4%,1.4%,5.1%,22.7%,18.5%,9.3%,"8,302","5,706"
Calabasas,38,8.1%,18.7%,29.0%,15.0%,13.2%,16.0%,19.0%,18.5,57.1%,3.0%,11.3%,28.6%,33.4%,23.7%,0.298,8.2%,1.0%,5.3%,83.2%,16.8%,10.1%,2.7,79.7%,20.3%,"$126,178",6.8%,10.6%,11.8%,31.5%,37.2%,23.5%,20.7%,69.2%,63.7%,1.3%,4.9%,6.0%,10.7%,8.3%,"23,130","1,247"
Cerritos,38,9.5%,22.7%,23.9%,17.9%,13.0%,12.9%,45.5%,8.9,43.5%,9.5%,16.2%,30.9%,29.3%,14.2%,0.599,58.3%,6.4%,10.5%,21.0%,79.0%,5.5%,3.3,83.4%,16.6%,"$98,212",7.7%,14.5%,15.7%,43.4%,17.3%,31.3%,24.2%,63.5%,60.5%,1.7%,7.7%,3.5%,7.7%,8.3%,"51,831","5,851"
Playa del Rey,38,11.0%,18.4%,27.9%,30.3%,4.6%,7.8%,16.2%,2.8,59.2%,2.8%,8.3%,29.7%,36.3%,22.9%,0.451,7.9%,3.9%,10.0%,72.6%,27.4%,7.5%,1.9,47.0%,53.0%,"$91,339",9.9%,14.9%,15.5%,35.2%,20.4%,46.0%,36.7%,41.9%,42.7%,1.3%,5.2%,10.8%,15.5%,10.7%,"9,755","3,542"
Windsor Square,38,12.4%,16.0%,29.5%,17.7%,7.9%,16.6%,45.0%,0.7,46.1%,13.2%,14.7%,26.0%,26.4%,19.7%,0.661,41.6%,4.3%,14.8%,37.7%,62.3%,9.8%,2.5,41.0%,59.0%,"$61,767",23.6%,21.5%,12.5%,18.4%,20.8%,32.3%,26.6%,59.8%,53.3%,1.4%,11.2%,6.6%,8.9%,6.5%,"5,642","8,255"
Beverly Grove,38,20.4%,12.9%,24.5%,33.8%,3.4%,5.0%,36.3%,1.6,50.0%,11.0%,14.7%,24.4%,34.6%,15.4%,0.319,5.1%,2.0%,6.0%,82.0%,18.0%,7.4%,1.7,25.2%,74.8%,"$63,039",21.0%,19.5%,19.4%,24.9%,10.6%,53.2%,40.5%,35.2%,32.7%,3.7%,13.6%,7.9%,13.2%,5.1%,"21,417","12,990"
Temple City,38,13.8%,16.6%,25.1%,19.2%,10.8%,14.5%,38.6%,4.0,28.5%,16.5%,20.6%,34.4%,19.6%,8.9%,0.665,38.5%,0.9%,20.3%,38.1%,61.9%,11.4%,2.9,63.0%,37.0%,"$65,965",16.7%,22.5%,20.0%,31.6%,6.5%,30.2%,24.7%,60.4%,53.7%,2.8%,11.3%,6.6%,10.3%,8.7%,"33,296","8,366"
Tarzana,38,15.2%,17.2%,25.0%,19.9%,9.2%,13.5%,35.1%,8.8,40.3%,13.6%,17.3%,28.7%,24.3%,16.0%,0.471,5.0%,3.6%,15.1%,70.7%,29.3%,11.7%,2.5,58.7%,41.3%,"$73,195",17.2%,21.2%,14.0%,25.2%,19.3%,31.9%,24.1%,57.0%,52.8%,2.6%,10.3%,8.5%,12.8%,9.2%,"35,502","4,038"
Leimert Park,38,17.6%,15.4%,24.3%,17.2%,10.8%,14.6%,10.7%,1.2,21.9%,18.2%,19.8%,40.0%,13.0%,8.9%,0.351,4.6%,79.6%,11.4%,1.2%,98.8%,27.7%,2.2,45.9%,54.1%,"$45,865",29.0%,25.0%,16.9%,18.0%,5.8%,38.7%,34.5%,45.3%,33.5%,4.6%,15.4%,11.4%,16.6%,11.1%,"11,782","9,880"
West Carson,38,15.0%,17.9%,23.7%,19.7%,10.1%,13.5%,34.2%,2.3,23.7%,25.4%,20.8%,30.1%,17.1%,6.6%,0.748,25.8%,10.5%,29.7%,29.0%,71.0%,10.0%,2.8,74.9%,25.1%,"$66,805",16.9%,20.5%,20.9%,30.6%,7.6%,29.8%,24.8%,56.3%,52.8%,3.6%,10.9%,10.3%,11.6%,9.8%,"21,010","9,219"
Studio City,38,13.2%,16.4%,28.7%,27.4%,4.5%,9.7%,21.1%,6.3,49.4%,4.8%,12.7%,33.2%,32.0%,17.4%,0.378,5.4%,3.7%,8.7%,78.0%,22.0%,11.2%,1.9,44.1%,55.9%,"$75,657",13.0%,19.9%,18.9%,28.7%,16.4%,42.1%,32.7%,43.7%,44.0%,2.5%,9.5%,11.7%,13.8%,8.8%,"34,034","5,395"
Santa Monica,38,14.3%,16.3%,28.0%,26.5%,5.7%,9.2%,24.8%,8.6,54.8%,9.0%,12.0%,24.2%,31.6%,23.2%,0.465,7.1%,3.5%,13.5%,71.3%,28.7%,12.8%,1.8,29.8%,70.2%,"$69,013",19.3%,17.9%,15.5%,24.9%,15.4%,44.6%,37.4%,41.8%,38.4%,2.3%,8.7%,11.3%,15.5%,7.3%,"84,084","9,817"
